ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2022,3,Swansea Bay University Health Board,Wales,Wales,,,Wales,-3.935120838,51.6846181,3384,13,3.84,5,Over 5% higher,3.64,4,Within 5%,3.11 to 4.29,3371,3,0.89,2,Over 15% lower,1.62,3,5 to 15% lower,0.97 to 2.57,16,4.73,3,5 to 15% lower,5.27,4,Within 5%,4.55 to 6.52,2,Level 3 NICU,3.61,1.82,5.42
2022,5,Airedale NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.962694662,53.89801502,1889,8,4.24,5,Over 5% higher,3.25,4,Within 5%,2.53 to 3.90,1881,5,2.66,5,Over 5% higher,1.31,5,Over 5% higher,0.63 to 2.74,13,6.88,5,Over 5% higher,4.61,5,Over 5% higher,3.70 to 6.22,5,"Under 2,000 births",3.23,1.07,4.3
2022,7,Aneurin Bevan University Health Board,Wales,Wales,,,Wales,-2.998152313,51.57979804,5408,23,4.25,5,Over 5% higher,3.67,4,Within 5%,3.11 to 4.38,5385,4,0.74,2,Over 15% lower,1.45,2,Over 15% lower,0.88 to 2.37,27,4.99,3,5 to 15% lower,5.13,3,5 to 15% lower,4.47 to 6.56,2,Level 3 NICU,3.61,1.82,5.42
2022,8,Ashford and St Peter's Hospital NHS Foundation Trust,England,South East,,,South East Coast,-0.472709324,51.44410155,3273,6,1.83,2,Over 15% lower,3.56,4,Within 5%,2.89 to 4.16,3267,8,2.45,5,Over 5% higher,1.86,4,Within 5%,1.21 to 3.01,14,4.28,2,Over 15% lower,5.44,4,Within 5%,4.57 to 7.02,2,Level 3 NICU,3.61,1.82,5.42
2022,10,"Barking, Havering and Redbridge University Hospitals NHS Trust",England,London,,,North Central & East London,0.112106859,51.58054479,7183,25,3.48,5,Over 5% higher,3.16,4,Within 5%,2.66 to 3.65,7158,9,1.26,5,Over 5% higher,1.11,4,Within 5%,0.69 to 1.76,34,4.73,5,Over 5% higher,4.26,4,Within 5%,3.76 to 5.23,3,"4,000 or more births",3.18,1.08,4.25
2022,13,Barnsley Hospital NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.499578108,53.55831397,2967,9,3.03,5,Over 5% higher,2.69,4,Within 5%,2.22 to 3.26,2958,7,2.37,5,Over 5% higher,1.34,5,Over 5% higher,0.76 to 2.28,16,5.39,5,Over 5% higher,4.06,5,Over 5% higher,3.33 to 5.15,4,"2,000-3,999 births",2.68,1.05,3.73
2022,14,Barts Health NHS Trust,England,London,,,North Central & East London,0.002638361,51.57883109,14094,66,4.68,5,Over 5% higher,3.85,4,Within 5%,3.37 to 4.52,14028,28,2,2,Over 15% lower,2.03,2,Over 15% lower,1.42 to 2.93,94,6.67,4,Within 5%,5.88,3,5 to 15% lower,5.26 to 7.27,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,17,Belfast Health and Social Care Trust,Northern Ireland,Northern Ireland,,,Northern Ireland,-5.952873891,54.59439114,4635,25,5.39,5,Over 5% higher,3.91,4,Within 5%,3.23 to 4.82,4610,29,6.29,5,Over 5% higher,4.26,5,Over 5% higher,2.95 to 6.32,54,11.65,5,Over 5% higher,8.42,5,Over 5% higher,7.02 to 11.27,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,20,Betsi Cadwaladr University Health Board,Wales,Wales,,,Wales,-4.159825146,53.20901957,5961,21,3.52,5,Over 5% higher,3.21,4,Within 5%,2.74 to 3.82,5940,13,2.19,5,Over 5% higher,1.45,5,Over 5% higher,0.90 to 2.42,34,5.7,5,Over 5% higher,4.74,5,Over 5% higher,4.02 to 6.10,3,"4,000 or more births",3.18,1.08,4.25
2022,22,Birmingham Women's and Children's NHS Foundation Trust,England,Midlands,,,Southern West Midlands,-1.942243239,52.45318512,7268,37,5.09,5,Over 5% higher,3.89,4,Within 5%,3.30 to 4.61,7231,33,4.56,5,Over 5% higher,3.17,5,Over 5% higher,2.29 to 4.48,70,9.63,5,Over 5% higher,7.1,5,Over 5% higher,6.11 to 9.06,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,26,Blackpool Teaching Hospitals NHS Foundation Trust,England,North West,,,North West (Lancashire and South Cumbria),-3.016264483,53.8206695,2552,5,1.96,2,Over 15% lower,2.66,4,Within 5%,2.26 to 3.11,2547,9,3.53,5,Over 5% higher,1.54,5,Over 5% higher,0.89 to 2.80,14,5.49,5,Over 5% higher,4.3,5,Over 5% higher,3.52 to 5.91,4,"2,000-3,999 births",2.68,1.05,3.73
2022,27,Bolton NHS Foundation Trust,England,North West,,,North West (Greater Manchester),-2.43018498,53.55441453,5486,18,3.28,3,5 to 15% lower,3.59,4,Within 5%,3.04 to 4.17,5468,14,2.56,5,Over 5% higher,2.12,5,Over 5% higher,1.34 to 3.36,32,5.83,5,Over 5% higher,5.73,5,Over 5% higher,4.85 to 7.28,2,Level 3 NICU,3.61,1.82,5.42
2022,29,Bradford Teaching Hospitals NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.794879358,53.80588187,5014,32,6.38,5,Over 5% higher,3.73,4,Within 5%,3.03 to 4.75,4982,11,2.21,5,Over 5% higher,1.96,5,Over 5% higher,1.22 to 3.19,43,8.58,5,Over 5% higher,5.69,4,Within 5%,4.82 to 7.43,2,Level 3 NICU,3.61,1.82,5.42
2022,32,Buckinghamshire Healthcare NHS Trust,England,South East,,,Thames Valley and Wessex,-0.802757325,51.79830765,4536,12,-1,0,Suppressed due to small numbers,3.16,4,Within 5%,2.67 to 3.63,4524,-1,-1,0,Suppressed due to small numbers,0.92,3,5 to 15% lower,0.54 to 1.55,14,3.09,2,Over 15% lower,4.08,4,Within 5%,3.51 to 4.98,3,"4,000 or more births",3.18,1.08,4.25
2022,33,University Hospitals of Derby and Burton NHS Foundation Trust,England,Midlands,,,Central,-1.513320614,52.91155644,8605,35,4.07,5,Over 5% higher,3.26,4,Within 5%,2.69 to 4.08,8570,17,1.98,5,Over 5% higher,1.45,5,Over 5% higher,0.91 to 2.40,52,6.04,5,Over 5% higher,4.75,5,Over 5% higher,3.99 to 6.09,3,"4,000 or more births",3.18,1.08,4.25
2022,34,Calderdale and Huddersfield NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.857279743,53.70530631,4319,16,3.7,5,Over 5% higher,3.19,4,Within 5%,2.74 to 3.73,4303,12,2.79,5,Over 5% higher,1.63,5,Over 5% higher,0.95 to 2.85,28,6.48,5,Over 5% higher,4.85,5,Over 5% higher,4.04 to 6.41,3,"4,000 or more births",3.18,1.08,4.25
2022,36,Cambridge University Hospitals NHS Foundation Trust,England,East of England,,,East of England,0.13911444,52.1737407,5463,12,2.2,2,Over 15% lower,3.78,4,Within 5%,3.09 to 4.42,5451,7,1.28,2,Over 15% lower,1.97,2,Over 15% lower,1.25 to 3.04,19,3.48,2,Over 15% lower,5.64,3,5 to 15% lower,4.83 to 7.25,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,40,Cardiff and Vale University Health Board,Wales,Wales,,,Wales,-3.189360354,51.50676434,5212,30,5.76,5,Over 5% higher,3.96,4,Within 5%,3.23 to 5.14,5182,15,2.89,5,Over 5% higher,3.17,5,Over 5% higher,2.04 to 4.75,45,8.63,5,Over 5% higher,7.1,5,Over 5% higher,6.05 to 9.37,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,44,Chelsea and Westminster Hospital NHS Foundation Trust,England,London,,,North West London,-0.181458758,51.48426049,10416,30,2.88,2,Over 15% lower,3.71,4,Within 5%,3.00 to 4.44,10386,17,1.64,2,Over 15% lower,2.23,2,Over 15% lower,1.53 to 3.33,47,4.51,2,Over 15% lower,5.97,3,5 to 15% lower,5.07 to 7.51,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,46,Chesterfield Royal Hospital NHS Foundation Trust,England,Midlands,,,Yorkshire & Humber,-1.400081229,53.23622277,2845,4,-1,0,Suppressed due to small numbers,2.66,4,Within 5%,2.20 to 3.10,2841,-1,-1,0,Suppressed due to small numbers,0.9,3,5 to 15% lower,0.51 to 1.52,5,1.76,2,Over 15% lower,3.53,3,5 to 15% lower,2.95 to 4.39,4,"2,000-3,999 births",2.68,1.05,3.73
