Trust,Abbreviation
NORTHCUMBRIAINTEGRATEDCARENHSFOUNDATIONTRUST,NCIC
TORBAYANDSOUTHDEVONNHSFOUNDATIONTRUST,TSD
FRIMLEYHEALTHNHSFOUNDATIONTRUST,FRIM
CAMBRIDGEUNIVERSITYHOSPITALSNHSFOUNDATIONTRUST,CUH
UNIVERSITYHOSPITALSBRISTOLANDWESTONNHSFOUNDATIONTRUST,UHBW
WARRINGTONANDHALTONTEACHINGHOSPITALSNHSFOUNDATIONTRUST,WHH
BOLTONNHSFOUNDATIONTRUST,BOLT
WIRRALUNIVERSITYTEACHINGHOSPITALNHSFOUNDATIONTRUST,WUTH
ASHFORDANDSTPETERSHOSPITALNHSFOUNDATIONTRUST,ASPH
LIVERPOOLWOMENSNHSFOUNDATIONTRUST,LWH
ROYALBERKSHIRENHSFOUNDATIONTRUST,RBFT
SOMERSETNHSFOUNDATIONTRUST,SOM
PORTSMOUTHHOSPITALSUNIVERSITYNHSTRUST,PHU
KINGSCOLLEGEHOSPITALNHSFOUNDATIONTRUST,KCH
HOMERTONHEALTHCARENHSFOUNDATIONTRUST,HOMR
STGEORGESUNIVERSITYHOSPITALSNHSFOUNDATIONTRUST,STG
NORTHBRISTOLNHSTRUST,NBT
BRADFORDTEACHINGHOSPITALSNHSFOUNDATIONTRUST,BTH
UNIVERSITYHOSPITALSOUTHAMPTONNHSFOUNDATIONTRUST,UHS
UNIVERSITYHOSPITALSPLYMOUTHNHSTRUST,UHP
NOTTINGHAMUNIVERSITYHOSPITALSNHSTRUST,NUH
ANEURINBEVANUNIVERSITYHEALTHBOARD,ABUHB
UNIVERSITYHOSPITALSSUSSEXNHSFOUNDATIONTRUST,UHSX
AIREDALENHSFOUNDATIONTRUST,AIRD
MIDCHESHIREHOSPITALSNHSFOUNDATIONTRUST,MCH
NORTHWESTANGLIANHSFOUNDATIONTRUST,NWA
BARTSHEALTHNHSTRUST,BARTS
LANCASHIRETEACHINGHOSPITALSNHSFOUNDATIONTRUST,LTH
TAMESIDEANDGLOSSOPINTEGRATEDCARENHSFOUNDATIONTRUST,TGIC
IMPERIALCOLLEGEHEALTHCARENHSTRUST,ICH
THEHILLINGDONHOSPITALSNHSFOUNDATIONTRUST,THH
DERBYTEACHINGHOSPITALSNHSFOUNDATIONTRUST,DTH
MAIDSTONEANDTUNBRIDGEWELLSNHSTRUST,MTW
UNIVERSITYHOSPITALSOFLEICESTERNHSTRUST,UHL
GLOUCESTERSHIREHOSPITALSNHSFOUNDATIONTRUST,GHT
NORTHTEESANDHARTLEPOOLNHSFOUNDATIONTRUST,NTH
THEROTHERHAMNHSFOUNDATIONTRUST,ROTH
UNIVERSITYHOSPITALSOFMORECAMBEBAYNHSFOUNDATIONTRUST,UHMB
SHEFFIELDTEACHINGHOSPITALSNHSFOUNDATIONTRUST,STH
GREATWESTERNHOSPITALSNHSFOUNDATIONTRUST,GWH
ROYALUNITEDHOSPITALSBATHNHSFOUNDATIONTRUST,RUH
UNIVERSITYHOSPITALSDORSETNHSFOUNDATIONTRUST,UHD
