Unit_name,Unit_level_manual
ABERDEENMATERNITYHOSPITAL,3
ABERDEENMATERNITYHOSPITALNICU,3
AIREDALEGENERALHOSPITAL,2
ALDERHEYCHILDRENSHOSPITAL,3
ALDERHEYCHILDRENSHOSPITALNICU,3
ANTRIMAREAHOSPITAL,3
ARROWEPARKHOSPITAL,3
AYRSHIREMATERNITYUNITCROSSHOUSE,2
AYRSHIREMATERNITYUNITCROSSHOUSENICU,2
BALFOUR,1
BARNETHOSPITAL,2
BARNSLEYDISTRICTGENERALHOSPITAL,2
BARNSLEYHOSPITAL,2
BASILDONHOSPITAL,2
BASINGSTOKEANDNORTHHAMPSHIREHOSPITAL,2
BASSETLAWHOSPITAL,1
BEDFORDHOSPITAL,1
BIRMINGHAMHEARTLANDSHOSPITAL,3
BIRMINGHAMWOMENSHOSPITAL,3
BORDERSGENERALHOSPITALMELROSE,1
BORDERSGENERALHOSPITALMELROSESCBU,1
BORDERSGENERALMELROSESCU,1
BRADFORDROYALINFIRMARY,3
BRONGLAISGENERALHOSPITAL,1
BROOMFIELDHOSPITAL,2
CALDERDALEROYALHOSPITAL,2
CHELSEAANDWESTMINSTERHOSPITAL,3
CHESTERFIELDANDNORTHDERBYSHIREROYALHOSPITAL,2
CITYHOSPITALBIRMINGHAM,2
COLCHESTERGENERALHOSPITAL,2
CONQUESTHOSPITAL,1
COUNTESSOFCHESTERHOSPITAL,2
CROYDONUNIVERSITYHOSPITAL,2
CUMBERLANDINFIRMARY,1
DARENTVALLEYHOSPITAL,1
DARLINGTONMEMORIALHOSPITAL,1
DERRIFORDHOSPITAL,3
DEWSBURYANDDISTRICTHOSPITAL,1
DIANAPRINCESSOFWALESHOSPITAL,2
DONCASTERROYALINFIRMARY,2
DORSETCOUNTYHOSPITAL,1
DRGRAYSHOSPITALELGIN,1
DRGRAYSHOSPITALELGIN1,1
DUMFRIESANDGALLOWAYROYALINFIRMARY,2
DUMFRIESANDGALLOWAYROYALINFIRMARYCRESSWELLMATERNITYWING,2
DUMFRIESANDGALLOWAYROYALINFIRMARYCRESSWELLMATERNITYWINGSCBU,2
EASTSURREYHOSPITAL,2
FORTHVALLEYROYALHOSPITAL,2
FORTHVALLEYROYALHOSPITALLNU,2
FRIMLEYPARKHOSPITAL,2
GEORGEELIOTHOSPITAL,1
GLANCLWYDHOSPITAL,2
GLANGWILIGENERALHOSPITAL,2
GLOUCESTERSHIREROYALHOSPITAL,2
GREATWESTERNHOSPITAL,2
GUYSANDSTTHOMASHOSPITAL,3
GUYSANDSTTHOMASHOSPITALEVELINALONDON,3
HARROGATEDISTRICTHOSPITAL,1
HEREFORDCOUNTYHOSPITAL,1
HILLINGDONHOSPITAL,2
HINCHINGBROOKEHOSPITAL,1
HOMERTONHOSPITAL,3
HULLROYALINFIRMARY,3
IPSWICHHOSPITAL,2
JAMESCOOKUNIVERSITYHOSPITAL,3
JAMESPAGETHOSPITAL,1
KETTERINGGENERALHOSPITAL,2
KINGSCOLLEGEHOSPITAL,3
KINGSMILLHOSPITAL,2
KINGSTONHOSPITAL,2
LANCASHIREWOMENANDNEWBORNCENTRE,3
LEEDSNEONATALSERVICE,3
LEICESTERNEONATALSERVICE,3
LEIGHTONHOSPITAL,2
LINCOLNCOUNTYHOSPITAL,2
LISTERHOSPITAL,2
LIVERPOOLWOMENSHOSPITAL,3
LUTONANDDUNSTABLEHOSPITAL,3
MACCLESFIELDDISTRICTGENERALHOSPITAL,2
MANORHOSPITAL,2
MEDWAYMARITIMEHOSPITAL,3
MILTONKEYNESFOUNDATIONTRUSTHOSPITAL,2
MUSGROVEPARKHOSPITAL,2
NEVILLHALLHOSPITAL,2
NEWCROSSHOSPITAL,3
NEWHAMGENERALHOSPITAL,2
NINEWELLSDUNDEENICU,3
NINEWELLSHOSPITALDUNDEE,3
NINEWELLSHOSPITALDUNDEENICU,3
NOBLESHOSPITAL,2
NOBLESHOSPITAL2,2
NORFOLKANDNORWICHUNIVERSITYHOSPITAL,3
NORTHAMPTONGENERALHOSPITAL,2
NORTHBRISTOLNHSTRUSTSOUTHMEADNICU,3
NORTHDEVONDISTRICTHOSPITAL,1
NORTHMANCHESTERGENERALHOSPITAL,2
NORTHMIDDLESEXUNIVERSITYHOSPITAL,2
NORTHUMBRIASPECIALISTEMERGENCYCAREHOSPITAL,1
NORTHWICKPARKHOSPITAL,2
NOTTINGHAMCITYHOSPITAL,3
NOTTINGHAMUNIVERSITYHOSPITALQMC,3
ORMSKIRKDISTRICTGENERALHOSPITAL,2
OXFORDUNIVERSITYHOSPITALSJOHNRADCLIFFEHOSPITAL,3
PETERBOROUGHCITYHOSPITAL,2
PILGRIMHOSPITAL,1
PINDERFIELDSGENERALHOSPITAL,2
PINDERFIELDSGENERALINFIRMARY,2
POOLEHOSPITALNHSFOUNDATIONTRUST,2
PRINCECHARLESHOSPITAL,2
PRINCESSALEXANDRAHOSPITAL,2
PRINCESSANNEHOSPITAL,3
PRINCESSOFWALESHOSPITAL,2
PRINCESSROYALHOSPITAL,2
PRINCESSROYALHOSPITALTELFORD,2
PRINCESSROYALMATERNITYGLASGOW,3
PRINCESSROYALMATERNITYHOSPITALGLASGOWNICU,3
PRINCESSROYALUNIVERSITYHOSPITAL,2
QUEENALEXANDRAHOSPITAL,3
QUEENCHARLOTTESHOSPITAL,3
QUEENELIZABETHHOSPITALKINGSLYNN,2
QUEENELIZABETHHOSPITALWOOLWICH,2
QUEENELIZABETHTHEQUEENMOTHERHOSPITAL,2
QUEENSHOSPITALBURTONONTRENT,2
QUEENSHOSPITALROMFORD,2
RAIGMOREHOSPITALINVERNESS,2
RAIGMOREHOSPITALINVERNESSLNU,2
RAIGMOREINVERNESSLNU,2
ROSIEMATERNITYHOSPITALADDENBROOKES,3
ROTHERHAMDISTRICTGENERALHOSPITAL,2
ROYALALBERTEDWARDINFIRMARY,2
ROYALALEXANDRAHOSPITALPAISLEY,2
ROYALALEXANDRAHOSPITALPAISLEYLNU,2
ROYALALEXANDRAPAISLEYLNU,2
ROYALBERKSHIREHOSPITAL,2
ROYALBOLTONHOSPITAL,3
